[2018-11-12 00:42:14,309]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_add_to_queue: Build BUILD_PROMOTION{id=12} was added to queue by "'admin' {id=1}"
[2018-11-12 00:42:14,366]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=12, configuration={id=ServerSocial, internal id=bt1}, queued}, triggered by "'admin' {id=1}" (##userId='1' type='user')}
[2018-11-12 00:42:14,718]   INFO - tbrains.buildServer.ACTIVITIES - Build started; Server Social / Server Social {id=ServerSocial, internal id=bt1} #12 {promotion id=12, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "'admin' {id=1}" (##userId='1' type='user'). Started 2018-11-12 00:42:14.574, running}
[2018-11-12 00:42:29,485]   INFO - tbrains.buildServer.ACTIVITIES - Finished build Server Social / Server Social {id=ServerSocial, internal id=bt1} #12 {promotion id=12, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "'admin' {id=1}" (##userId='1' type='user'). Started 2018-11-12 00:42:15.877, finished. Status "FAILURE 'Exit code 1 (Step: NPM Tests (Command Line))'"}
[2018-11-12 00:44:51,781]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=13, configuration={id=ServerSocial, internal id=bt1}, queued}, triggered by "Git" (##vcsName='jetbrains.git' type='vcs')}
[2018-11-12 00:44:51,801]   INFO - tbrains.buildServer.ACTIVITIES - Build started; Server Social / Server Social {id=ServerSocial, internal id=bt1} #13 {promotion id=13, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "Git" (##vcsName='jetbrains.git' type='vcs'). Started 2018-11-12 00:44:51.789, running}
[2018-11-12 00:46:04,698]   INFO - tbrains.buildServer.ACTIVITIES - Finished build Server Social / Server Social {id=ServerSocial, internal id=bt1} #13 {promotion id=13, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "Git" (##vcsName='jetbrains.git' type='vcs'). Started 2018-11-12 00:44:52.374, finished. Status "FAILURE 'Exit code 1 (Step: NPM Tests (Command Line))'"}
[2018-11-12 00:53:45,969]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "Server Social / Server Social {id=ServerSocial, internal id=bt1}" build configuration settings were edited ("version before: 12, version after: 13") by "'admin' {id=1}" with comment "runners of 'Server Social' build configuration were updated"
[2018-11-12 00:53:52,533]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_add_to_queue: Build BUILD_PROMOTION{id=14} was added to queue by "'admin' {id=1}"
[2018-11-12 00:53:52,536]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=14, configuration={id=ServerSocial, internal id=bt1}, queued}, triggered by "'admin' {id=1}" (##userId='1' type='user')}
[2018-11-12 00:53:52,547]   INFO - tbrains.buildServer.ACTIVITIES - Build started; Server Social / Server Social {id=ServerSocial, internal id=bt1} #14 {promotion id=14, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "'admin' {id=1}" (##userId='1' type='user'). Started 2018-11-12 00:53:52.541, running}
[2018-11-12 00:53:58,468]   INFO - tbrains.buildServer.ACTIVITIES - Finished build Server Social / Server Social {id=ServerSocial, internal id=bt1} #14 {promotion id=14, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "'admin' {id=1}" (##userId='1' type='user'). Started 2018-11-12 00:53:53.466, finished. Status "FAILURE 'Exit code 1 (Step: NPM Tests (Command Line))'"}
[2018-11-12 00:55:12,240]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=15, configuration={id=ServerSocial, internal id=bt1}, queued}, triggered by "Git" (##vcsName='jetbrains.git' type='vcs')}
[2018-11-12 00:55:12,263]   INFO - tbrains.buildServer.ACTIVITIES - Build started; Server Social / Server Social {id=ServerSocial, internal id=bt1} #15 {promotion id=15, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "Git" (##vcsName='jetbrains.git' type='vcs'). Started 2018-11-12 00:55:12.251, running}
[2018-11-12 00:55:21,813]   INFO - tbrains.buildServer.ACTIVITIES - Finished build Server Social / Server Social {id=ServerSocial, internal id=bt1} #15 {promotion id=15, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "Git" (##vcsName='jetbrains.git' type='vcs'). Started 2018-11-12 00:55:12.824, finished. Status "FAILURE 'Exit code 1 (Step: NPM Tests (Command Line))'"}
[2018-11-12 00:56:08,125]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "Server Social / Server Social {id=ServerSocial, internal id=bt1}" build configuration settings were edited ("version before: 13, version after: 14") by "'admin' {id=1}" with comment "runners of 'Server Social' build configuration were updated"
[2018-11-12 00:56:12,422]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_add_to_queue: Build BUILD_PROMOTION{id=16} was added to queue by "'admin' {id=1}"
[2018-11-12 00:56:12,424]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=16, configuration={id=ServerSocial, internal id=bt1}, queued}, triggered by "'admin' {id=1}" (##userId='1' type='user')}
[2018-11-12 00:56:12,434]   INFO - tbrains.buildServer.ACTIVITIES - Build started; Server Social / Server Social {id=ServerSocial, internal id=bt1} #16 {promotion id=16, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "'admin' {id=1}" (##userId='1' type='user'). Started 2018-11-12 00:56:12.430, running}
